address,name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost(for two people),reviews_list,cuisines_count,listed_in(type),listed_in(city)
"Address_225, Bangalore",Resto_225,No,No,2.2/5,1819,080-7917892,Marathahalli,Casual Dining,Biryani,"Desserts, Thai, Chinese, Italian",200,Sample Review Text...,4,Buffet,Bengaluru
"Address_97, Bangalore",Resto_97,Yes,Yes,4.8/5,1523,080-7677903,Marathahalli,Bar,Sushi,Fast Food,600,Sample Review Text...,1,Pubs and bars,Bengaluru
"Address_974, Bangalore",Burger King,Yes,No,NEW,2579,080-9754480,Indiranagar,Bar,Burgers,"North Indian, Desserts, Mexican",600,Sample Review Text...,3,Buffet,Bengaluru
"Address_799, Bangalore",Pizza Hut,No,Yes,3.2/5,1139,080-4740892,HSR Layout,Bar,Pizza,"Continental, North Indian, Mexican, Beverages",2000,Sample Review Text...,4,Pubs and bars,Bengaluru
"Address_296, Bangalore",Leon Grill,Yes,Yes,2.5/5,1085,080-7707501,JP Nagar,Pub,Burgers,"Italian, Continental",1000,Sample Review Text...,2,Pubs and bars,Bengaluru
"Address_906, Bangalore",Burger King,No,Yes,,672,080-3354531,Whitefield,Bakery,Burgers,Desserts,1200,Sample Review Text...,1,Buffet,Bengaluru
"Address_852, Bangalore",Resto_852,No,No,3.6/5,2786,080-3674757,Jayanagar,Casual Dining,Pasta,"Beverages, South Indian, Thai",2500,Sample Review Text...,3,Dine-out,Bengaluru
"Address_432, Bangalore",Nandhana Palace,No,No,4.6/5,1956,080-1800747,Whitefield,Cafe,Pizza,"Continental, Italian",2500,Sample Review Text...,2,Delivery,Bengaluru
"Address_594, Bangalore",Burger King,No,No,3.6/5,2142,080-3728933,JP Nagar,Casual Dining,Steak,"Desserts, Mexican",1200,Sample Review Text...,2,Cafes,Bengaluru
"Address_830, Bangalore",Resto_830,No,Yes,4.8/5,258,080-6243501,Koramangala,Bakery,Salad,"Mexican, Italian, Beverages",1200,Sample Review Text...,3,Drinks & nightlife,Bengaluru
"Address_224, Bangalore",Burger King,Yes,Yes,,642,080-5666702,Marathahalli,Bar,Biryani,"South Indian, Chinese, Desserts, Fast Food",800,Sample Review Text...,4,Buffet,Bengaluru
"Address_345, Bangalore",Leon Grill,Yes,No,3.2/5,1569,080-2946062,HSR Layout,Fine Dining,Biryani,"South Indian, Italian, Thai, North Indian",1000,Sample Review Text...,4,Dine-out,Bengaluru
"Address_878, Bangalore",Burger King,No,Yes,4.5/5,1673,080-5558760,Marathahalli,Bakery,Burgers,"Mexican, Fast Food",200,Sample Review Text...,2,Pubs and bars,Bengaluru
"Address_311, Bangalore",Resto_311,Yes,No,2.6/5,2749,080-9219877,HSR Layout,Bar,Sushi,"Chinese, South Indian","2,000",Sample Review Text...,2,Cafes,Bengaluru
"Address_373, Bangalore",Resto_373,No,No,3.5/5,502,080-8681853,Marathahalli,Fine Dining,Pizza,"Beverages, Continental, Desserts, Fast Food, South Indian",400,Sample Review Text...,5,Delivery,Bengaluru
"Address_134, Bangalore",Resto_134,Yes,No,2.7/5,2255,080-9192588,JP Nagar,Quick Service Restaurant,Pasta,"Desserts, Fast Food, South Indian, Thai",1200,Sample Review Text...,4,Buffet,Bengaluru
"Address_42, Bangalore",Pizza Hut,No,No,2.5/5,210,080-1899411,Whitefield,Bar,Pasta,"Chinese, Fast Food, Mexican, Italian",400,Sample Review Text...,4,Dine-out,Bengaluru
"Address_207, Bangalore",Burger King,Yes,Yes,3.9/5,1532,080-5638619,Whitefield,Quick Service Restaurant,Sushi,Desserts,400,Sample Review Text...,1,Drinks & nightlife,Bengaluru
"Address_515, Bangalore",Empire Restaurant,Yes,No,4.7/5,603,080-2348021,Whitefield,Cafe,Burgers,"Fast Food, South Indian, North Indian, Desserts, Mexican",1500,Sample Review Text...,5,Cafes,Bengaluru
"Address_742, Bangalore",McDonald's,No,No,2.2/5,1769,080-4577178,Whitefield,Casual Dining,Dosa,"Thai, Beverages, South Indian, Chinese",400,Sample Review Text...,4,Buffet,Bengaluru
"Address_560, Bangalore",Nandhana Palace,Yes,No,3.1/5,1598,080-1148668,MG Road,Pub,Salad,"Italian, South Indian, North Indian",600,Sample Review Text...,3,Buffet,Bengaluru
"Address_243, Bangalore",Resto_243,Yes,No,4.7/5,2987,080-2428191,JP Nagar,Casual Dining,Dosa,"Beverages, South Indian, Chinese, North Indian, Mexican",3000,Sample Review Text...,5,Dine-out,Bengaluru
"Address_709, Bangalore",Resto_709,No,Yes,3.6/5,571,080-8695935,Jayanagar,Fine Dining,Steak,"North Indian, Chinese, Continental",600,Sample Review Text...,3,Dine-out,Bengaluru
"Address_589, Bangalore",Resto_589,Yes,No,NEW,1480,080-8095426,MG Road,Bakery,Dosa,"North Indian, Italian",200,Sample Review Text...,2,Drinks & nightlife,Bengaluru
"Address_32, Bangalore",Resto_32,No,Yes,3.5/5,1613,080-4551070,Koramangala,Casual Dining,Salad,"South Indian, Desserts, Fast Food, North Indian",1000,Sample Review Text...,4,Drinks & nightlife,Bengaluru
"Address_804, Bangalore",Resto_804,Yes,No,2.4/5,1300,080-3850704,Koramangala,Casual Dining,Sushi,Mexican,2500,Sample Review Text...,1,Drinks & nightlife,Bengaluru
"Address_223, Bangalore",Resto_223,No,No,,1071,080-5170429,JP Nagar,Casual Dining,Salad,"Fast Food, Italian, Thai, Continental, Mexican",3000,Sample Review Text...,5,Drinks & nightlife,Bengaluru
"Address_133, Bangalore",Onesta,No,Yes,4.1/5,1311,080-8005797,HSR Layout,Quick Service Restaurant,Dosa,"Mexican, North Indian, Italian",600,Sample Review Text...,3,Dine-out,Bengaluru
"Address_903, Bangalore",Burger King,No,Yes,4.5/5,2728,080-1985629,JP Nagar,Cafe,Pizza,"Desserts, South Indian",600,Sample Review Text...,2,Dine-out,Bengaluru
"Address_489, Bangalore",Pizza Hut,No,No,3.8/5,564,080-1199493,Whitefield,Casual Dining,Salad,"Continental, Thai, Mexican","1,500",Sample Review Text...,3,Pubs and bars,Bengaluru
"Address_976, Bangalore",Burger King,Yes,Yes,3.6/5,377,080-5421566,Marathahalli,Fine Dining,Biryani,"Mexican, North Indian, South Indian, Continental",3000,Sample Review Text...,4,Cafes,Bengaluru
"Address_681, Bangalore",Resto_681,Yes,Yes,2.6/5,643,080-4617421,MG Road,Bar,Burgers,"Continental, South Indian",1200,Sample Review Text...,2,Delivery,Bengaluru
"Address_186, Bangalore",Resto_186,No,No,4.9/5,653,080-4681115,Indiranagar,Cafe,Steak,"Continental, Beverages",200,Sample Review Text...,2,Drinks & nightlife,Bengaluru
"Address_947, Bangalore",Resto_947,No,Yes,2.4/5,1103,080-7296917,HSR Layout,Quick Service Restaurant,Biryani,"North Indian, Thai, Continental",600,Sample Review Text...,3,Buffet,Bengaluru
"Address_180, Bangalore",Resto_180,No,No,3.6/5,850,080-1676621,Marathahalli,Quick Service Restaurant,Burgers,"Continental, Chinese, Beverages, Desserts","1,000",Sample Review Text...,4,Drinks & nightlife,Bengaluru
"Address_958, Bangalore",Onesta,No,No,3.7/5,2968,080-2279295,MG Road,Casual Dining,Dosa,"Italian, Mexican, Thai, Continental, South Indian",600,Sample Review Text...,5,Buffet,Bengaluru
"Address_399, Bangalore",Resto_399,No,Yes,3.8/5,313,080-6764913,Marathahalli,Bar,Biryani,"Italian, Continental, Desserts, Fast Food",2500,Sample Review Text...,4,Delivery,Bengaluru
"Address_91, Bangalore",Nandhana Palace,No,Yes,3.6/5,2079,080-2133461,Koramangala,Bakery,Sushi,"North Indian, Mexican, Thai, South Indian",200,Sample Review Text...,4,Dine-out,Bengaluru
"Address_533, Bangalore",Resto_533,Yes,Yes,3.9/5,2087,080-4038296,HSR Layout,Casual Dining,Steak,"Fast Food, Desserts, Continental, Thai, Mexican",400,Sample Review Text...,5,Cafes,Bengaluru
"Address_809, Bangalore",Resto_809,Yes,Yes,4.1/5,2534,080-8588667,JP Nagar,Bakery,Dosa,"Mexican, Thai, Continental, Chinese, Italian",600,Sample Review Text...,5,Buffet,Bengaluru
"Address_271, Bangalore",Resto_271,Yes,Yes,4.0/5,409,080-3509000,Whitefield,Bar,Salad,"Beverages, Mexican",1500,Sample Review Text...,2,Delivery,Bengaluru
"Address_784, Bangalore",McDonald's,Yes,Yes,4.1/5,2641,080-8317957,HSR Layout,Bakery,Pizza,"Fast Food, North Indian, Desserts",3000,Sample Review Text...,3,Dine-out,Bengaluru
"Address_512, Bangalore",Leon Grill,No,No,3.3/5,1536,080-1070138,Marathahalli,Casual Dining,Biryani,"South Indian, Desserts, Italian",600,Sample Review Text...,3,Buffet,Bengaluru
"Address_229, Bangalore",Empire Restaurant,No,No,4.3/5,725,080-6399642,Jayanagar,Fine Dining,Steak,"Chinese, Mexican",3000,Sample Review Text...,2,Cafes,Bengaluru
"Address_514, Bangalore",Resto_514,No,No,4.2/5,1427,080-1578940,Marathahalli,Fine Dining,Sushi,"North Indian, Mexican, Beverages",800,Sample Review Text...,3,Pubs and bars,Bengaluru
"Address_588, Bangalore",Resto_588,No,Yes,4.9/5,1991,080-8884747,HSR Layout,Fine Dining,Pasta,"Chinese, Continental, Desserts, North Indian",2500,Sample Review Text...,4,Pubs and bars,Bengaluru
"Address_170, Bangalore",Burger King,No,No,NEW,2197,080-4409088,Jayanagar,Quick Service Restaurant,Pasta,Continental,400,Sample Review Text...,1,Buffet,Bengaluru
"Address_28, Bangalore",Empire Restaurant,Yes,Yes,4.3/5,2734,080-3670226,JP Nagar,Bar,Salad,"Fast Food, Beverages, Mexican, Desserts",2500,Sample Review Text...,4,Cafes,Bengaluru
"Address_684, Bangalore",Pizza Hut,No,No,2.1/5,1122,080-5886173,Marathahalli,Cafe,Steak,Continental,3000,Sample Review Text...,1,Delivery,Bengaluru
"Address_181, Bangalore",Resto_181,Yes,No,2.1/5,1224,080-5191831,Whitefield,Bar,Pizza,"North Indian, Mexican",2000,Sample Review Text...,2,Cafes,Bengaluru
"Address_781, Bangalore",Pizza Hut,Yes,No,3.3/5,167,080-4673793,HSR Layout,Pub,Burgers,"Continental, North Indian",2000,Sample Review Text...,2,Dine-out,Bengaluru
"Address_16, Bangalore",McDonald's,Yes,No,3.9/5,1228,080-2677407,Marathahalli,Quick Service Restaurant,Pizza,North Indian,2000,Sample Review Text...,1,Buffet,Bengaluru
"Address_316, Bangalore",Resto_316,Yes,No,3.9/5,614,080-8486970,Jayanagar,Bar,Dosa,"South Indian, North Indian",1500,Sample Review Text...,2,Pubs and bars,Bengaluru
"Address_618, Bangalore",Leon Grill,No,Yes,3.5/5,1441,080-9521598,Whitefield,Casual Dining,Sushi,"Chinese, Thai, Mexican, Fast Food, Desserts",1500,Sample Review Text...,5,Delivery,Bengaluru
"Address_838, Bangalore",Resto_838,Yes,Yes,NEW,1475,080-9262035,JP Nagar,Quick Service Restaurant,Steak,Mexican,1200,Sample Review Text...,1,Buffet,Bengaluru
"Address_598, Bangalore",Resto_598,No,Yes,3.1/5,2524,080-7550021,MG Road,Bar,Pasta,Fast Food,1500,Sample Review Text...,1,Cafes,Bengaluru
"Address_850, Bangalore",Empire Restaurant,Yes,No,4.0/5,948,080-7262388,Koramangala,Quick Service Restaurant,Sushi,"Chinese, Thai, Desserts",2000,Sample Review Text...,3,Pubs and bars,Bengaluru
"Address_623, Bangalore",Resto_623,No,Yes,2.7/5,448,080-9812554,Koramangala,Bar,Pasta,Fast Food,"1,000",Sample Review Text...,1,Dine-out,Bengaluru
"Address_924, Bangalore",Resto_924,No,No,3.8/5,510,080-3150688,MG Road,Quick Service Restaurant,Pasta,"Desserts, North Indian, Chinese, Italian, Continental",800,Sample Review Text...,5,Pubs and bars,Bengaluru
"Address_527, Bangalore",Leon Grill,Yes,Yes,3.6/5,1886,080-3447304,JP Nagar,Cafe,Biryani,"Italian, Desserts, Beverages",600,Sample Review Text...,3,Buffet,Bengaluru
"Address_330, Bangalore",Pizza Hut,Yes,Yes,NEW,2511,080-1902612,JP Nagar,Pub,Pizza,"North Indian, South Indian, Fast Food, Italian",200,Sample Review Text...,4,Cafes,Bengaluru
"Address_45, Bangalore",Pizza Hut,Yes,No,-,920,080-5842082,Jayanagar,Quick Service Restaurant,Salad,"Chinese, North Indian",600,Sample Review Text...,2,Delivery,Bengaluru
"Address_472, Bangalore",Resto_472,Yes,No,NEW,2342,080-6523472,Koramangala,Fine Dining,Dosa,"Mexican, Chinese",800,Sample Review Text...,2,Delivery,Bengaluru
"Address_869, Bangalore",Resto_869,No,No,4.9/5,1398,080-3302963,Whitefield,Bar,Salad,"Fast Food, Thai, Continental, Mexican, Italian",2500,Sample Review Text...,5,Drinks & nightlife,Bengaluru
"Address_780, Bangalore",Burger King,Yes,Yes,NEW,2914,080-7463257,MG Road,Bar,Pizza,"South Indian, Thai, Beverages",1500,Sample Review Text...,3,Pubs and bars,Bengaluru
"Address_43, Bangalore",Pizza Hut,Yes,Yes,-,1704,080-2010496,HSR Layout,Bar,Pizza,"Mexican, Desserts, Beverages, South Indian, Continental",1500,Sample Review Text...,5,Dine-out,Bengaluru
"Address_460, Bangalore",Pizza Hut,Yes,Yes,2.3/5,1256,080-1981497,MG Road,Fine Dining,Dosa,"North Indian, Thai",600,Sample Review Text...,2,Cafes,Bengaluru
"Address_137, Bangalore",Burger King,Yes,Yes,3.5/5,987,080-7812009,HSR Layout,Pub,Salad,"Continental, Thai, Fast Food, Mexican, Italian",400,Sample Review Text...,5,Buffet,Bengaluru
"Address_469, Bangalore",Empire Restaurant,No,No,4.1/5,856,080-3944885,Koramangala,Cafe,Pizza,"Chinese, Continental, Desserts, Fast Food",2500,Sample Review Text...,4,Buffet,Bengaluru
"Address_731, Bangalore",Burger King,Yes,No,4.6/5,2200,080-7683988,Indiranagar,Fine Dining,Biryani,"Beverages, North Indian, Desserts, Italian, Thai",200,Sample Review Text...,5,Drinks & nightlife,Bengaluru
"Address_798, Bangalore",McDonald's,Yes,No,3.1/5,1646,080-8094088,Koramangala,Cafe,Dosa,"Fast Food, Italian",3000,Sample Review Text...,2,Dine-out,Bengaluru
"Address_991, Bangalore",Resto_991,Yes,No,3.1/5,574,080-5517306,JP Nagar,Bar,Steak,"Continental, South Indian, Italian, Thai, Chinese",,Sample Review Text...,5,Dine-out,Bengaluru
"Address_794, Bangalore",Nandhana Palace,Yes,No,3.6/5,2876,080-8152449,MG Road,Bar,Steak,"Italian, Continental, Thai, Chinese, Fast Food",800,Sample Review Text...,5,Cafes,Bengaluru
"Address_501, Bangalore",Resto_501,Yes,No,4.4/5,2141,080-4384602,Indiranagar,Bakery,Burgers,"Desserts, North Indian, Beverages",200,Sample Review Text...,3,Drinks & nightlife,Bengaluru
"Address_390, Bangalore",Leon Grill,Yes,No,2.4/5,321,080-8235132,MG Road,Fine Dining,Biryani,Chinese,200,Sample Review Text...,1,Dine-out,Bengaluru
"Address_251, Bangalore",McDonald's,Yes,No,2.8/5,2229,080-6920646,Jayanagar,Bakery,Sushi,"Thai, Chinese, Continental, Italian",800,Sample Review Text...,4,Cafes,Bengaluru
"Address_380, Bangalore",KFC,No,No,NEW,225,080-2465941,HSR Layout,Pub,Steak,"Italian, Continental, Fast Food, North Indian, Mexican","2,500",Sample Review Text...,5,Dine-out,Bengaluru
"Address_585, Bangalore",Onesta,No,No,4.2/5,1810,080-3163996,Jayanagar,Casual Dining,Salad,"Desserts, North Indian, Thai, Mexican, South Indian",1500,Sample Review Text...,5,Drinks & nightlife,Bengaluru
"Address_812, Bangalore",McDonald's,No,Yes,4.8/5,1259,080-2702878,Indiranagar,Quick Service Restaurant,Pasta,"Thai, Desserts, Beverages, South Indian, Fast Food",600,Sample Review Text...,5,Dine-out,Bengaluru
"Address_737, Bangalore",Resto_737,Yes,Yes,3.3/5,2615,080-6528345,Koramangala,Bar,Pizza,"Italian, Fast Food, Thai, Desserts, North Indian",1500,Sample Review Text...,5,Drinks & nightlife,Bengaluru
"Address_148, Bangalore",KFC,No,No,2.2/5,1675,080-2240929,Marathahalli,Cafe,Salad,"Italian, Continental, South Indian",1500,Sample Review Text...,3,Buffet,Bengaluru
"Address_325, Bangalore",Resto_325,No,Yes,4.0/5,1448,080-7535837,Indiranagar,Cafe,Pasta,"North Indian, Thai, Mexican","2,500",Sample Review Text...,3,Buffet,Bengaluru
"Address_371, Bangalore",McDonald's,Yes,Yes,3.3/5,167,080-4434507,JP Nagar,Quick Service Restaurant,Pasta,"Beverages, Chinese",2500,Sample Review Text...,2,Drinks & nightlife,Bengaluru
"Address_2, Bangalore",Pizza Hut,Yes,No,4.8/5,1550,080-4823498,Indiranagar,Pub,Dosa,"Fast Food, Thai, Italian",400,Sample Review Text...,3,Delivery,Bengaluru
"Address_917, Bangalore",Empire Restaurant,No,No,NEW,393,080-6716053,Indiranagar,Pub,Pizza,"Desserts, Fast Food","2,500",Sample Review Text...,2,Buffet,Bengaluru
"Address_543, Bangalore",Burger King,No,Yes,3.0/5,1919,080-7820186,Whitefield,Quick Service Restaurant,Sushi,"Beverages, Italian, Continental, Thai",400,Sample Review Text...,4,Delivery,Bengaluru
"Address_262, Bangalore",Pizza Hut,Yes,Yes,3.3/5,826,080-4886793,Whitefield,Cafe,Pasta,Fast Food,2500,Sample Review Text...,1,Pubs and bars,Bengaluru
"Address_698, Bangalore",Resto_698,No,No,4.8/5,124,080-1640782,Marathahalli,Pub,Sushi,"Desserts, South Indian, Fast Food, Thai","2,500",Sample Review Text...,4,Delivery,Bengaluru
"Address_584, Bangalore",Leon Grill,No,Yes,3.3/5,695,080-2497018,Whitefield,Cafe,Pizza,Continental,3000,Sample Review Text...,1,Dine-out,Bengaluru
"Address_462, Bangalore",Resto_462,No,No,2.2/5,118,080-2703045,MG Road,Fine Dining,Burgers,"North Indian, Continental","2,500",Sample Review Text...,2,Buffet,Bengaluru
"Address_236, Bangalore",Pizza Hut,No,No,NEW,2898,080-3673793,JP Nagar,Pub,Steak,"South Indian, Beverages",400,Sample Review Text...,2,Buffet,Bengaluru
"Address_136, Bangalore",Onesta,No,Yes,,2259,080-5809835,MG Road,Casual Dining,Biryani,Beverages,1000,Sample Review Text...,1,Buffet,Bengaluru
"Address_673, Bangalore",Resto_673,Yes,Yes,3.3/5,1077,080-4731953,Indiranagar,Bar,Pizza,"Continental, Chinese","1,200",Sample Review Text...,2,Drinks & nightlife,Bengaluru
"Address_660, Bangalore",Resto_660,No,No,,2938,080-4937559,HSR Layout,Casual Dining,Sushi,"Continental, North Indian, Thai",2500,Sample Review Text...,3,Delivery,Bengaluru
"Address_720, Bangalore",Nandhana Palace,No,No,2.1/5,1052,080-5089486,Indiranagar,Bar,Biryani,"Chinese, Italian, Continental, South Indian",3000,Sample Review Text...,4,Drinks & nightlife,Bengaluru
"Address_309, Bangalore",Resto_309,Yes,Yes,4.6/5,1695,080-5477211,MG Road,Quick Service Restaurant,Burgers,"Continental, South Indian, Italian, North Indian",600,Sample Review Text...,4,Buffet,Bengaluru
"Address_165, Bangalore",Resto_165,No,Yes,,1407,080-2718442,Indiranagar,Bar,Pizza,"South Indian, Desserts, Chinese, Beverages",1500,Sample Review Text...,4,Drinks & nightlife,Bengaluru
"Address_574, Bangalore",Resto_574,Yes,Yes,3.4/5,547,080-8064499,Indiranagar,Casual Dining,Burgers,"Thai, South Indian, Continental",2000,Sample Review Text...,3,Dine-out,Bengaluru
"Address_529, Bangalore",Leon Grill,No,No,4.4/5,652,080-9855760,Koramangala,Pub,Dosa,"Thai, Mexican, Desserts, South Indian",1500,Sample Review Text...,4,Drinks & nightlife,Bengaluru
"Address_961, Bangalore",Empire Restaurant,No,Yes,3.0/5,2016,080-1301466,MG Road,Bakery,Biryani,"North Indian, Beverages, Chinese, Fast Food",600,Sample Review Text...,4,Dine-out,Bengaluru
"Address_697, Bangalore",Resto_697,Yes,Yes,3.0/5,1510,080-5612919,Whitefield,Pub,Salad,Fast Food,1000,Sample Review Text...,1,Cafes,Bengaluru
"Address_412, Bangalore",KFC,Yes,No,3.7/5,1597,080-5606139,HSR Layout,Bakery,Salad,"South Indian, Chinese",600,Sample Review Text...,2,Cafes,Bengaluru
"Address_228, Bangalore",KFC,Yes,No,4.4/5,780,080-3258817,JP Nagar,Casual Dining,Salad,"North Indian, Chinese, Desserts, Italian","3,000",Sample Review Text...,4,Delivery,Bengaluru
"Address_773, Bangalore",Resto_773,No,No,4.5/5,2832,080-7082569,Marathahalli,Bar,Burgers,"Italian, Beverages, Chinese",400,Sample Review Text...,3,Pubs and bars,Bengaluru
"Address_938, Bangalore",Resto_938,Yes,No,4.6/5,1227,080-3875197,MG Road,Cafe,Sushi,South Indian,2000,Sample Review Text...,1,Delivery,Bengaluru
"Address_441, Bangalore",McDonald's,No,Yes,2.8/5,353,080-7979059,Marathahalli,Cafe,Salad,"Italian, South Indian",3000,Sample Review Text...,2,Drinks & nightlife,Bengaluru
"Address_235, Bangalore",Nandhana Palace,No,Yes,3.6/5,532,080-6412833,Jayanagar,Pub,Biryani,"North Indian, Thai, Desserts",600,Sample Review Text...,3,Pubs and bars,Bengaluru
"Address_601, Bangalore",Pizza Hut,Yes,Yes,3.9/5,2373,080-4030429,Indiranagar,Casual Dining,Pizza,"Fast Food, Chinese, Beverages, Desserts",1000,Sample Review Text...,4,Delivery,Bengaluru
"Address_255, Bangalore",Leon Grill,Yes,No,4.0/5,1857,080-9461748,Indiranagar,Cafe,Steak,"Mexican, South Indian, Chinese, North Indian",800,Sample Review Text...,4,Dine-out,Bengaluru
"Address_145, Bangalore",Resto_145,No,No,2.5/5,1130,080-4280754,MG Road,Quick Service Restaurant,Salad,"Chinese, Thai, Continental, Fast Food",2000,Sample Review Text...,4,Delivery,Bengaluru
"Address_793, Bangalore",Burger King,No,Yes,2.2/5,1008,080-1983550,JP Nagar,Cafe,Salad,"Desserts, Italian",1500,Sample Review Text...,2,Pubs and bars,Bengaluru
"Address_921, Bangalore",Nandhana Palace,No,Yes,4.5/5,380,080-1067267,JP Nagar,Quick Service Restaurant,Pizza,South Indian,400,Sample Review Text...,1,Cafes,Bengaluru
"Address_723, Bangalore",Resto_723,No,No,4.5/5,2043,080-2318832,,Pub,Salad,"Mexican, Continental",1500,Sample Review Text...,2,Buffet,Bengaluru
"Address_27, Bangalore",Nandhana Palace,No,No,3.7/5,2942,080-4671545,MG Road,Bakery,Pasta,"Italian, South Indian, North Indian, Mexican",400,Sample Review Text...,4,Pubs and bars,Bengaluru
"Address_689, Bangalore",Leon Grill,Yes,No,2.3/5,1737,080-5936253,Marathahalli,Cafe,Dosa,"Desserts, South Indian, Mexican, Italian, North Indian",1000,Sample Review Text...,5,Buffet,Bengaluru
"Address_590, Bangalore",Nandhana Palace,Yes,Yes,2.2/5,2917,080-8189612,Marathahalli,Bar,Sushi,"Beverages, Italian, Continental, Chinese",200,Sample Review Text...,4,Drinks & nightlife,Bengaluru
"Address_388, Bangalore",Burger King,No,Yes,-,633,080-2912044,HSR Layout,Bar,Steak,"Beverages, Fast Food",2500,Sample Review Text...,2,Cafes,Bengaluru
"Address_297, Bangalore",Resto_297,No,No,4.4/5,2824,080-6610127,Indiranagar,Pub,Sushi,"North Indian, Mexican, Chinese",200,Sample Review Text...,3,Cafes,Bengaluru
"Address_292, Bangalore",Burger King,No,Yes,2.8/5,166,080-9919792,Indiranagar,Bar,Steak,"Chinese, Italian, Fast Food",400,Sample Review Text...,3,Dine-out,Bengaluru
"Address_998, Bangalore",Onesta,Yes,Yes,2.0/5,1478,080-8183194,Jayanagar,Cafe,Steak,"Beverages, Fast Food, Thai, Italian, Chinese",600,Sample Review Text...,5,Delivery,Bengaluru
"Address_210, Bangalore",Leon Grill,No,Yes,2.6/5,1257,080-8894293,MG Road,Bar,Biryani,"Thai, Continental, Beverages","2,000",Sample Review Text...,3,Pubs and bars,Bengaluru
"Address_339, Bangalore",Resto_339,Yes,Yes,,2655,080-8142130,Koramangala,Cafe,Pasta,"Mexican, South Indian, Chinese, Desserts","1,500",Sample Review Text...,4,Cafes,Bengaluru
"Address_797, Bangalore",Leon Grill,Yes,No,NEW,833,080-1079503,Marathahalli,Cafe,Burgers,"Fast Food, North Indian, Beverages, Italian, Chinese",400,Sample Review Text...,5,Pubs and bars,Bengaluru
"Address_537, Bangalore",Leon Grill,No,No,4.9/5,1442,080-3376783,HSR Layout,Fine Dining,Dosa,North Indian,800,Sample Review Text...,1,Dine-out,Bengaluru
"Address_93, Bangalore",Resto_93,Yes,Yes,2.9/5,1270,080-1802018,MG Road,Bar,Sushi,"Desserts, Continental, North Indian, Mexican, Thai",800,Sample Review Text...,5,Drinks & nightlife,Bengaluru
"Address_480, Bangalore",McDonald's,No,Yes,4.4/5,27,080-3389108,JP Nagar,Casual Dining,Dosa,Thai,200,Sample Review Text...,1,Cafes,Bengaluru
"Address_847, Bangalore",Nandhana Palace,No,Yes,4.7/5,838,080-2444438,Indiranagar,Fine Dining,Burgers,Desserts,600,Sample Review Text...,1,Cafes,Bengaluru
"Address_10, Bangalore",Resto_10,Yes,Yes,,2899,080-4993055,Koramangala,Cafe,Dosa,North Indian,1200,Sample Review Text...,1,Pubs and bars,Bengaluru
"Address_728, Bangalore",KFC,Yes,Yes,4.1/5,93,080-1381170,JP Nagar,Pub,Steak,"South Indian, Desserts",400,Sample Review Text...,2,Buffet,Bengaluru
"Address_23, Bangalore",Resto_23,No,Yes,4.9/5,156,080-4188992,Indiranagar,Pub,Dosa,"Thai, Fast Food, Mexican, Continental",2500,Sample Review Text...,4,Delivery,Bengaluru
"Address_100, Bangalore",Leon Grill,No,Yes,2.6/5,568,080-2446455,,Bar,Pizza,"North Indian, Thai, Beverages, Italian",2500,Sample Review Text...,4,Drinks & nightlife,Bengaluru
"Address_693, Bangalore",Resto_693,Yes,No,3.6/5,518,080-4631318,MG Road,Quick Service Restaurant,Pizza,"Fast Food, Continental, Desserts, Chinese, Mexican",200,Sample Review Text...,5,Buffet,Bengaluru
"Address_871, Bangalore",Resto_871,No,Yes,3.5/5,1685,080-7064744,Whitefield,Quick Service Restaurant,Sushi,"Mexican, Italian, South Indian, Fast Food, Thai",1000,Sample Review Text...,5,Dine-out,Bengaluru
"Address_749, Bangalore",Resto_749,Yes,No,3.0/5,1826,080-5345732,HSR Layout,Cafe,Dosa,"Desserts, Italian, Fast Food",1200,Sample Review Text...,3,Buffet,Bengaluru
"Address_599, Bangalore",Leon Grill,No,Yes,NEW,517,080-8338707,Indiranagar,Fine Dining,Biryani,"Mexican, Continental, South Indian, Desserts, Chinese",400,Sample Review Text...,5,Pubs and bars,Bengaluru
"Address_174, Bangalore",Nandhana Palace,Yes,Yes,,50,080-8035849,HSR Layout,Casual Dining,Burgers,"Thai, Mexican, South Indian, Chinese",200,Sample Review Text...,4,Drinks & nightlife,Bengaluru
"Address_393, Bangalore",Resto_393,Yes,No,4.2/5,17,080-6952931,Indiranagar,Cafe,Steak,"Desserts, Thai, South Indian, Italian, Beverages",400,Sample Review Text...,5,Cafes,Bengaluru
"Address_621, Bangalore",Resto_621,No,No,4.3/5,1423,080-6122489,Whitefield,Fine Dining,Burgers,"Continental, North Indian, Chinese, Desserts, Fast Food",3000,Sample Review Text...,5,Dine-out,Bengaluru
"Address_216, Bangalore",Empire Restaurant,No,No,3.8/5,2432,080-7992333,Koramangala,Fine Dining,Salad,North Indian,200,Sample Review Text...,1,Cafes,Bengaluru
"Address_315, Bangalore",Resto_315,Yes,Yes,NEW,2892,080-3682671,Marathahalli,Fine Dining,Steak,"Chinese, Beverages, Mexican",2500,Sample Review Text...,3,Buffet,Bengaluru
"Address_217, Bangalore",Resto_217,No,No,2.6/5,2808,080-8026730,Koramangala,Quick Service Restaurant,Pizza,"Chinese, Beverages, Continental, Desserts",3000,Sample Review Text...,4,Buffet,Bengaluru
